"Env"	"GG"	"Y"	"tj"	"ri"	"L"	"G"	"Group"	"arimean"	"adjmean"	"se"	"ErrVar"	"w"	"residShukla"
"2001-Barisal"	"Long-BR10"	"2001"	2001	1980	"Barisal"	"BR10"	"Long"	3.87333333333333	3.87333333333333	0.130270249273229	0.0169703378457092	58.9263460216169	0.00177801824564838
"2001-Comilla"	"Long-BR10"	"2001"	2001	1980	"Comilla"	"BR10"	"Long"	4.92455426366667	4.92455426366667	0.23667842636729	0.0560166775076966	17.8518263576522	0.0828233715690301
"2001-Gazipur"	"Long-BR10"	"2001"	2001	1980	"Gazipur"	"BR10"	"Long"	3.97496124033333	3.97496124033333	0.179855289614039	0.0323479252021499	30.913883773094	-0.0466802580906607
"2001-Rajshahi"	"Long-BR10"	"2001"	2001	1980	"Rajshahi"	"BR10"	"Long"	4.06333333333333	4.06333333333333	0.198814026698745	0.0395270172121694	25.2991515811146	-0.0611161314250364
"2001-Rangpur"	"Long-BR10"	"2001"	2001	1980	"Rangpur"	"BR10"	"Long"	3.47756589166667	3.47756589166667	0.230290459685437	0.05303369582213	18.8559364852471	-0.0690715915078646
"2001-Satkhira"	"Long-BR10"	"2001"	2001	1980	"Satkhira"	"BR10"	"Long"	6.90891472833333	6.90891472833334	0.0529806450071667	0.00280694874537542	356.258731709137	0.00818044143947105
"2001-Sonagazi"	"Long-BR10"	"2001"	2001	1980	"Sonagazi"	"BR10"	"Long"	3.961007752	3.961007752	0.164927883915615	0.0272012068928827	36.7630746656926	-0.0164526282696054
"2002-Barisal"	"Long-BR10"	"2002"	2002	1980	"Barisal"	"BR10"	"Long"	4.56666666666667	4.56666666666667	0.281482928237029	0.0792326388888922	12.6210613962044	-0.0572558933155616
"2002-Comilla"	"Long-BR10"	"2002"	2002	1980	"Comilla"	"BR10"	"Long"	4.73333333333333	4.73333333333333	0.358938442571367	0.128836805555559	7.76175717558261	-0.0505612800160016
"2002-Gazipur"	"Long-BR10"	"2002"	2002	1980	"Gazipur"	"BR10"	"Long"	3.85790251933333	3.85790251933333	0.208116403099544	0.0433124372390919	23.088056543201	-0.0314759832606328
"2002-Rajshahi"	"Long-BR10"	"2002"	2002	1980	"Rajshahi"	"BR10"	"Long"	4.36233333333333	4.36233333333333	0.198955141044788	0.0395831481481514	25.2632760855001	-0.0543304126231652
"2002-Rangpur"	"Long-BR10"	"2002"	2002	1980	"Rangpur"	"BR10"	"Long"	3.18	3.18	0.279582341169079	0.078166285493583	12.7932393574221	-0.103865722375631
"2002-Satkhira"	"Long-BR10"	"2002"	2002	1980	"Satkhira"	"BR10"	"Long"	6.487906977	6.487906977	0.0743786699049421	0.00553218653682834	180.760354580037	0.0144478588913071
"2002-Sonagazi"	"Long-BR10"	"2002"	2002	1980	"Sonagazi"	"BR10"	"Long"	4.260007752	4.260007752	0.161449105660212	0.0260658137184824	38.3644267084949	-0.00936078961864872
"2003-Barisal"	"Long-BR10"	"2003"	2003	1980	"Barisal"	"BR10"	"Long"	3.77978682166667	3.77978682166667	0.278625937318527	0.077632412946628	12.8812175487511	-0.247641126124298
"2003-Comilla"	"Long-BR10"	"2003"	2003	1980	"Comilla"	"BR10"	"Long"	2.313348062	2.313348062	0.221178470801202	0.0489199159459583	20.441572326181	-0.142723427404245
"2003-Gazipur"	"Long-BR10"	"2003"	2003	1980	"Gazipur"	"BR10"	"Long"	2.46404651166667	2.46404651166667	0.324529121267277	0.105319150550511	9.49494934941013	-0.178858803473791
"2003-Rajshahi"	"Long-BR10"	"2003"	2003	1980	"Rajshahi"	"BR10"	"Long"	4.21283333333333	4.21283333333333	0.208537285789058	0.0434877995642674	22.9949551372949	-0.0344989548647678
"2003-Rangpur"	"Long-BR10"	"2003"	2003	1980	"Rangpur"	"BR10"	"Long"	3.775131783	3.775131783	0.219466692898206	0.0481656292916755	20.7616928234099	-0.039823294854302
"2003-Satkhira"	"Long-BR10"	"2003"	2003	1980	"Satkhira"	"BR10"	"Long"	7.32992248066667	7.32992248066667	0.0803328310865496	0.0064533637503801	154.957947309432	0.0220246202464569
"2003-Sonagazi"	"Long-BR10"	"2003"	2003	1980	"Sonagazi"	"BR10"	"Long"	2.83	2.83	0.352617507724465	0.124339106753813	8.04252198771191	-0.0325163120496823
"2004-Barisal"	"Long-BR10"	"2004"	2004	1980	"Barisal"	"BR10"	"Long"	3.90043078033333	3.90043078033333	0.181123324176459	0.0328056585607306	30.4825461177307	0.0246666062262633
